tahun,provinsi,jenis_harga,nilai_miliar_rp,sumber,status
2024,Jawa Tengah,Konstan,133194.0,BPS PDRB,real
2020,DI Yogyakarta,Berlaku,14057.0,BPS PDRB,real
2021,DI Yogyakarta,Berlaku,14602.0,BPS PDRB,real
2022,DI Yogyakarta,Berlaku,16526.0,BPS PDRB,real
2023,DI Yogyakarta,Berlaku,18488.0,BPS PDRB,real
2024,DI Yogyakarta,Berlaku,19201.0,BPS PDRB,real
2020,DI Yogyakarta,Konstan,8535.0,BPS PDRB,real
2021,DI Yogyakarta,Konstan,8638.0,BPS PDRB,real
2022,DI Yogyakarta,Konstan,9078.0,BPS PDRB,real
2023,DI Yogyakarta,Konstan,9170.0,BPS PDRB,real
2024,DI Yogyakarta,Konstan,9177.0,BPS PDRB,real
2020,Jawa Timur,Berlaku,273246.0,BPS PDRB,real
2021,Jawa Timur,Berlaku,281783.0,BPS PDRB,real
2022,Jawa Timur,Berlaku,303510.0,BPS PDRB,real
2023,Jawa Timur,Berlaku,326086.0,BPS PDRB,real
2024,Jawa Timur,Berlaku,337661.0,BPS PDRB,real
2020,Jawa Timur,Konstan,167631.0,BPS PDRB,real
2021,Jawa Timur,Konstan,170557.0,BPS PDRB,real
2022,Jawa Timur,Konstan,173748.0,BPS PDRB,real
2023,Jawa Timur,Konstan,177669.0,BPS PDRB,real
2024,Jawa Timur,Konstan,177790.0,BPS PDRB,real
2020,Banten,Berlaku,38998.0,BPS PDRB,real
2021,Banten,Berlaku,40200.0,BPS PDRB,real
2022,Banten,Berlaku,44058.0,BPS PDRB,real
2023,Banten,Berlaku,46623.0,BPS PDRB,real
2024,Banten,Berlaku,49368.0,BPS PDRB,real
2020,Banten,Konstan,25275.0,BPS PDRB,real
2021,Banten,Konstan,25417.0,BPS PDRB,real
2022,Banten,Konstan,26491.0,BPS PDRB,real
2023,Banten,Konstan,26532.0,BPS PDRB,real
2024,Banten,Konstan,26703.0,BPS PDRB,real
2020,Bali,Berlaku,33832.0,BPS PDRB,real
2021,Bali,Berlaku,34767.0,BPS PDRB,real
2022,Bali,Berlaku,36014.0,BPS PDRB,real
2023,Bali,Berlaku,37710.0,BPS PDRB,real
2024,Bali,Berlaku,40059.0,BPS PDRB,real
2020,Bali,Konstan,21269.0,BPS PDRB,real
2021,Bali,Konstan,21338.0,BPS PDRB,real
2022,Bali,Konstan,21157.0,BPS PDRB,real
2023,Bali,Konstan,21039.0,BPS PDRB,real
2024,Bali,Konstan,21580.0,BPS PDRB,real
2020,Nusa Tenggara Barat,Berlaku,30977.0,BPS PDRB,real
2021,Nusa Tenggara Barat,Berlaku,31933.0,BPS PDRB,real
2022,Nusa Tenggara Barat,Berlaku,33568.0,BPS PDRB,real
2023,Nusa Tenggara Barat,Berlaku,36992.0,BPS PDRB,real
2024,Nusa Tenggara Barat,Berlaku,39096.0,BPS PDRB,real
2020,Nusa Tenggara Barat,Konstan,21466.0,BPS PDRB,real
2021,Nusa Tenggara Barat,Konstan,21712.0,BPS PDRB,real
2022,Nusa Tenggara Barat,Konstan,22187.0,BPS PDRB,real
2023,Nusa Tenggara Barat,Konstan,22643.0,BPS PDRB,real
2024,Nusa Tenggara Barat,Konstan,22992.0,BPS PDRB,real
2020,Nusa Tenggara Timur,Berlaku,30356.0,BPS PDRB,real
2021,Nusa Tenggara Timur,Berlaku,32339.0,BPS PDRB,real
2022,Nusa Tenggara Timur,Berlaku,35136.0,BPS PDRB,real
2023,Nusa Tenggara Timur,Berlaku,37677.0,BPS PDRB,real
2024,Nusa Tenggara Timur,Berlaku,39627.0,BPS PDRB,real
2020,Nusa Tenggara Timur,Konstan,18681.0,BPS PDRB,real
2021,Nusa Tenggara Timur,Konstan,19602.0,BPS PDRB,real
2022,Nusa Tenggara Timur,Konstan,20342.0,BPS PDRB,real
2023,Nusa Tenggara Timur,Konstan,20842.0,BPS PDRB,real
2024,Nusa Tenggara Timur,Konstan,21208.0,BPS PDRB,real
2020,Kalimantan Barat,Berlaku,44735.0,BPS PDRB,real
2021,Kalimantan Barat,Berlaku,49220.0,BPS PDRB,real
2022,Kalimantan Barat,Berlaku,53976.0,BPS PDRB,real
2023,Kalimantan Barat,Berlaku,57096.0,BPS PDRB,real
2024,Kalimantan Barat,Berlaku,65236.0,BPS PDRB,real
2020,Kalimantan Barat,Konstan,32371.0,BPS PDRB,real
2021,Kalimantan Barat,Konstan,33812.0,BPS PDRB,real
2022,Kalimantan Barat,Konstan,34548.0,BPS PDRB,real
2023,Kalimantan Barat,Konstan,35109.0,BPS PDRB,real
2024,Kalimantan Barat,Konstan,36151.0,BPS PDRB,real
2020,Kalimantan Tengah,Berlaku,33054.0,BPS PDRB,real
2021,Kalimantan Tengah,Berlaku,37616.0,BPS PDRB,real
2022,Kalimantan Tengah,Berlaku,40831.0,BPS PDRB,real
2023,Kalimantan Tengah,Berlaku,44775.0,BPS PDRB,real
2024,Kalimantan Tengah,Berlaku,49837.0,BPS PDRB,real
2020,Kalimantan Tengah,Konstan,21305.0,BPS PDRB,real
2021,Kalimantan Tengah,Konstan,22073.0,BPS PDRB,real
2022,Kalimantan Tengah,Konstan,22834.0,BPS PDRB,real
2023,Kalimantan Tengah,Konstan,23837.0,BPS PDRB,real
2024,Kalimantan Tengah,Konstan,24148.0,BPS PDRB,real
2020,Kalimantan Selatan,Berlaku,25799.0,BPS PDRB,real
2021,Kalimantan Selatan,Berlaku,26864.0,BPS PDRB,real
2022,Kalimantan Selatan,Berlaku,28680.0,BPS PDRB,real
2023,Kalimantan Selatan,Berlaku,30679.0,BPS PDRB,real
2024,Kalimantan Selatan,Berlaku,33119.0,BPS PDRB,real
2020,Kalimantan Selatan,Konstan,18399.0,BPS PDRB,real
2021,Kalimantan Selatan,Konstan,18614.0,BPS PDRB,real
2022,Kalimantan Selatan,Konstan,18911.0,BPS PDRB,real
2023,Kalimantan Selatan,Konstan,19537.0,BPS PDRB,real
2024,Kalimantan Selatan,Konstan,20351.0,BPS PDRB,real
2020,Kalimantan Timur,Berlaku,53455.0,BPS PDRB,real
2021,Kalimantan Timur,Berlaku,59133.0,BPS PDRB,real
2022,Kalimantan Timur,Berlaku,64995.0,BPS PDRB,real
2023,Kalimantan Timur,Berlaku,67688.0,BPS PDRB,real
2024,Kalimantan Timur,Berlaku,74363.0,BPS PDRB,real
2020,Kalimantan Timur,Konstan,33027.0,BPS PDRB,real
2021,Kalimantan Timur,Konstan,33004.0,BPS PDRB,real
2022,Kalimantan Timur,Konstan,33713.0,BPS PDRB,real
2023,Kalimantan Timur,Konstan,34551.0,BPS PDRB,real
2024,Kalimantan Timur,Konstan,35373.0,BPS PDRB,real
2020,Kalimantan Utara,Berlaku,16536.0,BPS PDRB,real
2021,Kalimantan Utara,Berlaku,18085.0,BPS PDRB,real
2022,Kalimantan Utara,Berlaku,19554.0,BPS PDRB,real
2023,Kalimantan Utara,Berlaku,20957.0,BPS PDRB,real
2024,Kalimantan Utara,Berlaku,21699.0,BPS PDRB,real
2020,Kalimantan Utara,Konstan,10926.0,BPS PDRB,real
2021,Kalimantan Utara,Konstan,11301.0,BPS PDRB,real
2022,Kalimantan Utara,Konstan,11723.0,BPS PDRB,real
2023,Kalimantan Utara,Konstan,12230.0,BPS PDRB,real
2024,Kalimantan Utara,Konstan,12444.0,BPS PDRB,real
2020,Sulawesi Utara,Berlaku,28449.0,BPS PDRB,real
2021,Sulawesi Utara,Berlaku,30075.0,BPS PDRB,real
2022,Sulawesi Utara,Berlaku,32816.0,BPS PDRB,real
2023,Sulawesi Utara,Berlaku,35165.0,BPS PDRB,real
2024,Sulawesi Utara,Berlaku,38586.0,BPS PDRB,real
2020,Sulawesi Utara,Konstan,17705.0,BPS PDRB,real
2021,Sulawesi Utara,Konstan,18040.0,BPS PDRB,real
2022,Sulawesi Utara,Konstan,19187.0,BPS PDRB,real
2023,Sulawesi Utara,Konstan,20045.0,BPS PDRB,real
2024,Sulawesi Utara,Konstan,21114.0,BPS PDRB,real
2020,Sulawesi Tengah,Berlaku,42962.0,BPS PDRB,real
2021,Sulawesi Tengah,Berlaku,46500.0,BPS PDRB,real
2022,Sulawesi Tengah,Berlaku,51207.0,BPS PDRB,real
2023,Sulawesi Tengah,Berlaku,54803.0,BPS PDRB,real
