tahun,provinsi,ntp,sumber,status
2024,Bali,101.51,BPS NTP (2018=100),real
2024,Banten,108.76,BPS NTP (2018=100),real
2024,Bengkulu,181.9,BPS NTP (2018=100),real
2024,DI Yogyakarta,104.86,BPS NTP (2018=100),real
2024,DKI Jakarta,106.49,BPS NTP (2018=100),real
2024,Gorontalo,109.04,BPS NTP (2018=100),real
2024,Jambi,156.14,BPS NTP (2018=100),real
2024,Jawa Barat,112.17,BPS NTP (2018=100),real
2024,Jawa Tengah,114.21,BPS NTP (2018=100),real
2024,Jawa Timur,112.21,BPS NTP (2018=100),real
2024,Kalimantan Barat,154.98,BPS NTP (2018=100),real
2024,Kalimantan Selatan,114.35,BPS NTP (2018=100),real
2024,Kalimantan Tengah,125.89,BPS NTP (2018=100),real
2024,Kalimantan Timur,137.94,BPS NTP (2018=100),real
2024,Kalimantan Utara,112.81,BPS NTP (2018=100),real
2024,Kepulauan Bangka Belitung,133.8,BPS NTP (2018=100),real
2024,Kepulauan Riau,104.81,BPS NTP (2018=100),real
2024,Lampung,124.98,BPS NTP (2018=100),real
2024,Maluku,102.34,BPS NTP (2018=100),real
2024,Maluku Utara,103.42,BPS NTP (2018=100),real
2024,Nusa Tenggara Barat,121.2,BPS NTP (2018=100),real
2024,Nusa Tenggara Timur,99.6,BPS NTP (2018=100),real
2024,Papua,101.38,BPS NTP (2018=100),real
2024,Papua Barat,100.26,BPS NTP (2018=100),real
2024,Papua Barat Daya,99.9,BPS NTP (2018=100),real
2024,Papua Pegunungan,100.85,BPS NTP (2018=100),real
2024,Papua Selatan,101.58,BPS NTP (2018=100),real
2024,Papua Tengah,99.94,BPS NTP (2018=100),real
2024,Riau,173.22,BPS NTP (2018=100),real
2024,Sulawesi Barat,144.62,BPS NTP (2018=100),real
2024,Sulawesi Selatan,117.87,BPS NTP (2018=100),real
2024,Sulawesi Tengah,117.96,BPS NTP (2018=100),real
2024,Sulawesi Tenggara,114.06,BPS NTP (2018=100),real
2024,Sulawesi Utara,114.14,BPS NTP (2018=100),real
2024,Sumatera Barat,123.74,BPS NTP (2018=100),real
2024,Sumatera Selatan,120.84,BPS NTP (2018=100),real
2024,Sumatera Utara,136.23,BPS NTP (2018=100),real
